,,Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,,,CO_360:0000111,ZNC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000108,Zn content,Biochemical trait,Zn content,,ZNC,,Kelp,Zn content,,,CO_360:0000109,Zn content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000110,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000115,ASC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000112,As content,Biochemical trait,As content,,ASC,,Kelp,As content,,,CO_360:0000113,As content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000114,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000119,SEC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000116,Se content,Biochemical trait,Se content,,SEC,,Kelp,Se content,,,CO_360:0000117,Se content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000118,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000123,SRC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000120,Sr content,Biochemical trait,Sr content,,SRC,,Kelp,Sr content,,,CO_360:0000121,Sr content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000122,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000127,MOC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000124,Mo content,Biochemical trait,Mo content,,MOC,,Kelp,Mo content,,,CO_360:0000125,Mo content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000126,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000131,CDC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000128,Cd content,Biochemical trait,Cd content,,CDC,,Kelp,Cd content,,,CO_360:0000129,Cd content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000130,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000135,PBC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000132,Pb content,Biochemical trait,Pb content,,PBC,,Kelp,Pb content,,,CO_360:0000133,Pb content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000134,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000139,BC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000136,B content,Biochemical trait,B content,,BC,,Kelp,B content,,,CO_360:0000137,B content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000138,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000143,MGC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000140,Mg content,Biochemical trait,Mg content,,MGC,,Kelp,Mg content,,,CO_360:0000141,Mg content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000142,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000147,ALC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000144,Al content,Biochemical trait,Al content,,ALC,,Kelp,Al content,,,CO_360:0000145,Al content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000146,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000151,SC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000148,S content,Biochemical trait,S content,,SC,,Kelp,S content,,,CO_360:0000149,S content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000150,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000155,KC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000152,K content,Biochemical trait,K content,,KC,,Kelp,K content,,,CO_360:0000153,K content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000154,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000159,CRC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000156,Cr content,Biochemical trait,Cr content,,CRC,,Kelp,Cr content,,,CO_360:0000157,Cr content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000158,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000163,MNC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000160,Mn content,Biochemical trait,Mn content,,MNC,,Kelp,Mn content,,,CO_360:0000161,Mn content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000162,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000167,NIC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000164,Ni content,Biochemical trait,Ni content,,NIC,,Kelp,Ni content,,,CO_360:0000165,Ni content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000166,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000171,GAC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000168,Ga content,Biochemical trait,Ga content,,GAC,,Kelp,Ga content,,,CO_360:0000169,Ga content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000170,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000175,RBC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000172,Rb content,Biochemical trait,Rb content,,RBC,,Kelp,Rb content,,,CO_360:0000173,Rb content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000174,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000179,INC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000176,In content,Biochemical trait,In content,,INC,,Kelp,In content,,,CO_360:0000177,In content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000178,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000183,IC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000180,I content,Biochemical trait,I content,,IC,,Kelp,I content,,,CO_360:0000181,I content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000182,mg,Numerical,2,,,,,,,,,,,,,
